,id,sentence,subject_entity,object_entity,label
19,최소기능제품_29,개발자는 일반적으로 제품을 보다 관대하고 피드백을 제공할 가능성이 높으며 초기 프로토타입 또는 마케팅 정보로부터 제품 비전을 파악할 수 있는 얼리 어답터(Early Adaptor)와 같은 가능한 고객의 하위 집합에 배포한다.,"{'start': 0, 'text': '개발자', 'type': 'per'}","{'start': 44, 'text': '프로토타입', 'type': 'poh'}",product
20,최소기능제품_2,MVP에는 완성도 낮은(low-fidelity) MVP 와 완성도 높은(high-fidelity) MVP로 표현할 수 있다.,"{'start': 0, 'text': 'MVP', 'type': 'poh'}","{'start': 6, 'text': '완성도 낮은(low-fidelity) MVP', 'type': 'poh'}",poh:type
21,최소기능제품_3,"완성도 낮은 MVP(Low-fidelity MVP)는 최소한의 기능으로 실제 제품의 형태만을 모방하여 구현된 MVP로, 예를 들면 가입 시 더 많은 정보를 획득하기 위한 랜딩 페이지, cardboard mockup 등이 있다.","{'start': 7, 'text': 'MVP', 'type': 'poh'}","{'start': 95, 'text': '랜딩 페이지', 'type': 'poh'}",poh:type
22,최소기능제품_116,"모바일 앱을 이용해 리무진 서비스를 해보자는 아이디어 2008년에 도메인(ubercab.com)을 구입하고, 2009년에 우버캡(UberCab) 프로토타입을 만들기 시작, 2010년 5월에 단 3대의 자동차로 샌프란시스코에서 테스트를 시작했다.","{'start': 68, 'text': '우버캡', 'type': 'poh'}","{'start': 96, 'text': '2010년 5월', 'type': 'dat'}",no_relation
23,최소기능제품_31,MVP가 비즈니스 가설 테스트를 목표로 하고 검증된 학습이 린 스타트업 방법의 5대 원칙 중 하나이기 때문에 이 기술은 린 스타트업 방법론에 속한다.,"{'start': 0, 'text': 'MVP', 'type': 'poh'}","{'start': 33, 'text': '린 스타트업', 'type': 'poh'}",poh:type
24,최소기능제품_35,"특히 창업 실패의 주요 원인이 시장 수요 부족인데, 많은 스타트업이 실패하는 것은 많은 사람들이 자신의 제품을 필요로 하지 않기 때문에 초기 투자를 회수할 충분한 수익을 창출할 수 없기 때문이다.","{'start': 32, 'text': '스타트업', 'type': 'poh'}","{'start': 17, 'text': '시장 수요 부족', 'type': 'poh'}",no_relation
25,최소기능제품_140,1976년에 애플에서 최초로 출시한 컴퓨터인 Apple 1은 하나의 회로 기판이다.,"{'start': 7, 'text': '애플', 'type': 'org'}","{'start': 25, 'text': 'Apple 1', 'type': 'poh'}",product
26,최소기능제품_121,2012년 우버는 우버엑스(Uber-X)를 새롭게 런칭하면서 MVP에 혁신적인 기능들을 더했다.,"{'start': 6, 'text': '우버', 'type': 'org'}","{'start': 10, 'text': '우버엑스', 'type': 'org'}",related
27,최소기능제품_126,2006년 다니엘 에크(Daniel Ek)와 마틴 로렌존(Martin Lorentzon)은 기존 음악 산업이 인터넷 스트리밍테크놀로지를 사용해 음악을 들으려는 사람들에게는 어떤 솔루션도 제공하지 않는다는 사실과 비즈니스 니즈를 발견했다.,"{'start': 6, 'text': '다니엘 에크', 'type': 'per'}","{'start': 25, 'text': '마틴 로렌존', 'type': 'per'}",related
28,최소기능제품_119,"초기의 MVP는 앱을 통해 예약을 받고, GPS를 통해 경로 안내를 하고, 신용카드로 결제할 뿐이었다.","{'start': 4, 'text': 'MVP', 'type': 'poh'}","{'start': 23, 'text': 'GPS', 'type': 'poh'}",no_relation
29,최소기능제품_84,미국 실리콘밸리 스타트업의 교본 ‘린 스타트업(Lean Startup)’도 MVP 개념을 반영한 것이다.,"{'start': 19, 'text': '린 스타트업', 'type': 'poh'}","{'start': 42, 'text': 'MVP', 'type': 'poh'}",poh:type
30,최소기능제품_112,"전혀 세련되지 않았고 거실이나 룸쉐어링을 기본 목표로 삼았기에 사진 2–3개 정도가 들어간 웹페이지를 만들었을 뿐이지만, 모든 역량의 초점을 비즈니스 니즈를 파악하고, 고객의 피드백을 받기 위한 MVP에 집중했다.","{'start': 17, 'text': '룸쉐어링', 'type': 'poh'}","{'start': 51, 'text': '웹페이지', 'type': 'poh'}",no_relation
31,최소기능제품_161,일부 연구는 기업들이 경쟁사의 모방 위험을 무릅쓰고 모방에 대한 다른 장벽을 확립하지 않았을 때 MVP의 조기 발매가 회사를 돕는 것보다 더 큰 타격을 줄 수 있다는 것을 보여주었다.,"{'start': 12, 'text': '경쟁사', 'type': 'poh'}","{'start': 54, 'text': 'MVP', 'type': 'poh'}",no_relation
32,최소기능제품_144,"지금은 확실한 솔루션처럼 보이지만, Kickstarter의 설립자 페리 첸의 아이디어가 출시되기까지 6~7년이 걸렸다.","{'start': 37, 'text': '페리 첸', 'type': 'per'}","{'start': 20, 'text': 'Kickstarter', 'type': 'org'}",per:member_of
33,최소기능제품_85,린 스타트업은 MVP에 대한 시장반응을 보고 다음 제품에 반영하는 것을 반복한다.,"{'start': 0, 'text': '린 스타트업', 'type': 'poh'}","{'start': 8, 'text': 'MVP', 'type': 'poh'}",poh:type
34,최소기능제품_149,쿠팡이츠의 ‘1주문 1배달’ 서비스가 대표적이다.,"{'start': 0, 'text': '쿠팡이츠', 'type': 'org'}","{'start': 7, 'text': '1주문 1배달', 'type': 'poh'}",product
35,최소기능제품_1,"초기의 MVP는 파워포인트 슬라이드, 비디오, 데모와 같이 단순한 표현으로 정의 될 수 있다.","{'start': 4, 'text': 'MVP', 'type': 'poh'}","{'start': 9, 'text': '파워포인트 슬라이드', 'type': 'poh'}",poh:type
36,최소기능제품_33,"스티브 블랭크는 린 스타트업 접근법의 주요 원칙은 고객에게 제품을 원하는지 또는 제품이 고객의 요구에 부합하는지 물어보고, 가설이 거짓으로 판명될 경우 다른 접근법으로 선회하는 것에 있다고 주장했다.","{'start': 0, 'text': '스티브 블랭크', 'type': 'per'}","{'start': 9, 'text': '린 스타트업', 'type': 'poh'}",no_relation
37,최소기능제품_65,MVP는 시장에서 제품을 테스트하기 전에 제품을 구현하기 위해 시간과 비용을 조기에 투자하는 기존 시장 테스트 전략과는 다르다.,"{'start': 0, 'text': 'MVP', 'type': 'poh'}","{'start': 52, 'text': '기존 시장 테스트 전략', 'type': 'poh'}",no_relation
38,최소기능제품_69,"MVP는 블랭크의 고객 개발 방법론의 일부로 사용될 수 있는 전략으로, 고객의 피드백을 기반으로 지속적인 제품 반복과 개선 작업에 초점을 맞추고 있다.","{'start': 0, 'text': 'MVP', 'type': 'poh'}","{'start': 10, 'text': '고객 개발 방법론', 'type': 'poh'}",poh:type
39,최소기능제품_24,실리콘밸리의 벤처기업가 에릭 리스(Eric Ries)가 처음 사용한 린 스타트업은 소비자에게 제품을 직접 사용해 보도록 해서 어떤 기능을 추가해야 할지 판단한다.,"{'start': 13, 'text': '에릭 리스', 'type': 'per'}","{'start': 38, 'text': '린 스타트업', 'type': 'poh'}",no_relation
40,최소기능제품_132,그 후 스포티파이는 영향력 있는 베타 테스터를 이용했다.,"{'start': 4, 'text': '스포티파이', 'type': 'org'}","{'start': 18, 'text': '베타 테스터', 'type': 'per'}",no_relation
41,최소기능제품_127,"그 후 4개월 만에 그들의 첫 번째 프로토타입인 스포티파이AB(Spotify AB)가 만들어지고, 2007년 베타 버전을 출시했다.","{'start': 27, 'text': '스포티파이AB', 'type': 'poh'}","{'start': 55, 'text': '2007', 'type': 'dat'}",poh:start_date
42,원격근무_2,원격 근무자를 '홈 워커(home worker)'라고도 한다. ,"{'start': 0, 'text': '원격 근무자', 'type': 'per'}","{'start': 9, 'text': '홈 워커', 'type': 'per'}",alternate
43,원격근무_1,원격 근무(telecommuting)이란 정보 기술(IT)를 활용해 원격지에서 장소에 구애받지 않고 언제 어디서나 업무를 수행하는 새로운 근무 방식을 뜻한다.,"{'start': 0, 'text': '원격 근무', 'type': 'poh'}","{'start': 23, 'text': '정보 기술', 'type': 'poh'}",poh:type
44,원격근무_3,원격 근무자를 '홈 워커(home worker)'라고도 한다. 최근에는 IT환경이 발전함에 따라 확대된 개념인 U-워크라고도 부른다. ,"{'start': 0, 'text': '원격 근무자', 'type': 'per'}","{'start': 62, 'text': 'U-워크', 'type': 'per'}",alternate
45,승차 공유 서비스_0,"승차 공유 서비스(Ridesharing service), 또는 운송 네트워크 기업(Transportation network company, TNC)는  인터넷이나 모바일 응용 소프트웨어를 통해 차량과 운전자를 탑승자에 연결해 주는 서비스 및 기업을 일컫는다. 이같은 승차 공유 서비스는 일종의 공유경제로 분류된다.","{'start': 164, 'text': '공유경제', 'type': 'poh'}","{'start': 0, 'text': '승차 공유 서비스', 'type': 'poh'}",poh:type
46,승차 공유 서비스_3,"승차 공유 서비스는 인터넷과 모바일을 통한 즉각적인 승차 연결로, 택시가 잘 다니지 않는 인구밀도가 낮은 지역이나 저소득층 지역에서도 택시 요금보다 저렴한 운임료로 승차 서비스를 제공한다는 장점이 있다.","{'start': 92, 'text': '승차 서비스', 'type': 'poh'}","{'start': 0, 'text': '승차 공유 서비스', 'type': 'poh'}",poh:type
47,승차 공유 서비스_2,"세계적으로 우버나 리프트 등의 승차 공유 서비스가 업계를 선도하고 있으며, 대한민국의 카카오 T도 일종의 승차 공유 서비스를 제공하는 운송 네트워크 기업에 속한다..","{'start': 48, 'text': '카카오 T', 'type': 'org'}","{'start': 59, 'text': '승차 공유 서비스', 'type': 'poh'}",product
48,승차 공유 서비스_1,"세계적으로 우버나 리프트 등의 승차 공유 서비스가 업계를 선도하고 있으며, 대한민국의 카카오 T도 일종의 승차 공유 서비스를 제공하는 운송 네트워크 기업에 속한다.","{'start': 17, 'text': '승차 공유 서비스', 'type': 'poh'}","{'start': 6, 'text': '우버나 리프트', 'type': 'poh'}",poh:type
49,승차 공유 서비스_4,"탑승자의 요청을 해당 지역의 운전자가 수락하는 것과 동시에 목적지 거리 기준으로 결제가 되면서 승차 연결이 이루어지기 때문에, 여러 국가에 만연한 문제인 택시의 승차 거부, 경로 우회, 바가지 요금이 없다는 것도 장점으로 꼽히고 있다.","{'start': 0, 'text': '탑승자', 'type': 'per'}","{'start': 16, 'text': '운전자', 'type': 'per'}",no_relation
50,린 스타트업_4,린 스타트업에서 하루에도 몇 번씩 새로운 코드를 릴리즈하는 것은 드문 일이 아니다. 이를 위해서 지속적 배포(Continuous Deployment)라는 기법을 사용한다.,"{'start': 0, 'text': '린 스타트업', 'type': 'poh'}","{'start': 54, 'text': '지속적 배포', 'type': 'poh'}",poh:type
51,린 스타트업_3,그리고 고객의 피드백을 받아 기존의 소프트웨어 엔지니어링 프랙티스(폭포수 모델 같은)보다 훨씬 빠르게 프로토타입을 진화시킬 것을 주장한다.,"{'start': 20, 'text': '소프트웨어 엔지니어링 프랙티스', 'type': 'poh'}","{'start': 37, 'text': '폭포수 모델', 'type': 'poh'}",poh:type
52,린 스타트업_1,"린 스타트업(Lean Startup)은 제품이나 시장을 발달시키기 위해 기업가들이 사용하는 프로세스 모음 중 하나로서, 애자일 소프트웨어 개발과, 고객 개발(Customer Development), 그리고 기존의 소프트웨어 플랫폼 (주로 오픈소스) 등을 활용한다.","{'start': 0, 'text': '린 스타트업', 'type': 'poh'}","{'start': 133, 'text': '오픈소스', 'type': 'poh'}",poh:type
53,린 스타트업_13,"이는 스타트업이 회사가 아닌 하나의 조직으로, 고객의 문제를 빠르게 해결하여 고객을 확보하며 자신들의 가설을 증명해 나아가는 단계로 본다.","{'start': 3, 'text': '스타트업', 'type': 'org'}","{'start': 26, 'text': '고객', 'type': 'per'}",no_relation
54,린 스타트업_12,스타트업은 확장 가능하고 반복가능한 임시 조직이다.,"{'start': 0, 'text': '스타트업', 'type': 'poh'}","{'start': 20, 'text': '임시 조직', 'type': 'poh'}",poh:type
55,린 스타트업_9,이것을 최소 기능 제품 (Minimum Viable Product)이라고도 한다. 다른 말로는 최소 기능 셋 (Minimum Features Set) 이라고 불린다.,"{'start': 53, 'text': '최소 기능 셋', 'type': 'poh'}","{'start': 4, 'text': '최소 기능 제품', 'type': 'poh'}",poh:type
56,린 스타트업_5,린 스타트업은 때로 린 사고방식(Lean Thinking)을 창업 프로세스에 적용한 것으로 설명되기도 한다.,"{'start': 0, 'text': '린 스타트업', 'type': 'poh'}","{'start': 11, 'text': '린 사고방식', 'type': 'poh'}",poh:type
57,린 스타트업_7,"린 스타트업 프로세스는 고객 개발(Customer Development)을 사용하여, 실제 고객과 접촉하는 빈도를 높여서 낭비를 줄인다. 이를 통해 시장에 대한 잘못된 가정을 최대한 빨리 검증하고 회피한다.","{'start': 0, 'text': '린 스타트업 프로세스', 'type': 'poh'}","{'start': 13, 'text': '고객 개발', 'type': 'poh'}",poh:type
58,제프 베이조스_10,"제프 베이조스의 생부 이름은 원래 테드 조겐슨(Ted Jorgensen)이었으나, 제프 베이조스가 4살 때 부모님이 이혼하고 어머니가 새로운 아버지 미겔 베이조스(Miguel Bezos)와 결혼함에 따라 그의 성씨는 베이조스로 바뀌었다.","{'start': 19, 'text': '테드 조겐슨', 'type': 'per'}","{'start': 83, 'text': '미겔 베이조스', 'type': 'per'}",no_relation
59,제프 베이조스_8,"베조스는 1964년 1월 12일, 미국 뉴멕시코 앨버커키에서 태어났다. 태어날 당시, 그의 어머니는 17세의 고등학생이었다.","{'start': 0, 'text': '베조스', 'type': 'per'}","{'start': 19, 'text': '미국 뉴멕시코 앨버커키', 'type': 'loc'}",location
60,제프 베이조스_3,"아마존에서는 처음에 인터넷 상거래를 통해 책을 판매하였으며, 이후에 넓고 다양한 상품을 판매하고 있다.","{'start': 0, 'text': '아마존', 'type': 'org'}","{'start': 11, 'text': '인터넷 상거래', 'type': 'poh'}",org:field
61,제프 베이조스_16,"2018년 9월, 아마존 주가가 올라 시총 1조 달러를 돌파했다.","{'start': 10, 'text': '아마존', 'type': 'org'}","{'start': 21, 'text': '시총 1조 달러를 돌파', 'type': 'poh'}",org:event
62,제프 베이조스_11,미겔 베이조스는 훗날 석유기업인 엑손(EXXON) 경영진에 오르는 등 제프 베이조스의 롤 모델(Role Model)이 되었을 뿐 아니라 제프 베이조스가 아마존을 설립할 때 그 첫 투자자가 되었다.,"{'start': 0, 'text': '미겔 베이조스', 'type': 'per'}","{'start': 18, 'text': '엑손(EXXON) 경영진', 'type': 'poh'}",per:title
63,제프 베이조스_0,"제프리 프레스턴 '제프' 베이조스(영어: Jeffrey Preston 'Jeff' Bezos(/bezos/), 1964년 1월 12일 ~)는 미국의 기술 관련 기업가이자, 투자자이다.","{'start': 0, 'text': '제프리 프레스턴 ""제프"" 베이조스', 'type': 'per'}","{'start': 89, 'text': '기업가', 'type': 'poh'}",per:title
64,제프 베이조스_13,프레스턴은 젊은 시절 국방부의 연구 기관인 DARPA 우주 공학 미사일 방어 시스템 분야의 전문가로 일했으며 원자력위원회에서 활동하기도 했다.,"{'start': 0, 'text': '프레스턴', 'type': 'per'}","{'start': 36, 'text': '미사일 방어 시스템 분야의 전문가', 'type': 'poh'}",per:title
65,제프 베이조스_17,"아마존 주식의 16%를 베이조스가 갖고 있어서, 베이조스의 재산은 190조 원이 되었다.","{'start': 13, 'text': '베이조스', 'type': 'per'}","{'start': 0, 'text': '아마존', 'type': 'org'}",no_relation
66,제프 베이조스_19,개인재산 1000억 달러 돌파는 1999년 빌 게이츠 이후 2017년 베이조스가 두 번째다.,"{'start': 24, 'text': '빌 게이츠', 'type': 'per'}","{'start': 39, 'text': '베이조스', 'type': 'per'}",no_relation
67,제프 베이조스_12,제프 베이조스에게 영향을 미친 또 다른 이는 외할아버지 프레스턴 자이스(Preston Gise)였다.,"{'start': 0, 'text': '제프 베이조스', 'type': 'per'}","{'start': 31, 'text': '프레스턴 자이스', 'type': 'per'}",no_relation
68,제프 베이조스_5,2000년 블루 오리진(Blue Origin)사를 설립하고 우주여행선 프로젝트를 진행하고 있다.,"{'start': 6, 'text': '블루 오리진', 'type': 'org'}","{'start': 33, 'text': '우주여행선 프로젝트', 'type': 'poh'}",product
69,제프 베이조스_14,"제프 베이조스는 16살이 될 때까지 매년 여름 방학을 텍사스에 있는 외할아버지의 농장에서 보내었는데, 이때의 경험들이 기업가의 꿈을 키우는데 중요한 영양분이 되었다고 밝혔다.","{'start': 0, 'text': '제프 베이조스', 'type': 'per'}","{'start': 66, 'text': '기업가', 'type': 'poh'}",no_relation
70,11번가_1,"11번가는 2008년 2월 사업을 시작한 대한민국 오픈 마켓으로, 11번가주식회사가 운영하는 서비스이다","{'start': 0, 'text': '11번가', 'type': 'poh'}","{'start': 6, 'text': '2008년 2월', 'type': 'dat'}",poh:start_date
71,11번가_2,"2016년 2월, 11번가는 자회사인 커머스 플래닛에서 운영하다 SK플래닛에 흡수 합병되었다.","{'start': 10, 'text': '11번가', 'type': 'org'}","{'start': 36, 'text': 'SK플래닛', 'type': 'org'}",related
72,11번가_5,2021년 하반기부터 아마존과 11번가는 협력 사업을 예정 중이다.,"{'start': 12, 'text': '아마존', 'type': 'org'}","{'start': 17, 'text': '11번가', 'type': 'org'}",no_relation
73,11번가_4,2018년 9월 1일 SK플래닛 11번가 사업부문을 분할해 '11번가주식회사'가 설립되었다.,"{'start': 34, 'text': '11번가주식회사', 'type': 'org'}","{'start': 12, 'text': 'SK플래닛', 'type': 'org'}",related
74,옥션_2,2001년에 옥션은 미국 이베이에 인수되어 ㈜이베이옥션이 되었다. ,"{'start': 7, 'text': '옥션', 'type': 'org'}","{'start': 11, 'text': '미국 이베이', 'type': 'org'}",related
75,옥션_4,"원래 경매 및 공동구매를 사업모델로 영위하던 사이트였지만 2002년 개편과 함께 온라인 마켓으로 사업모델을 바꾸고 ‘우리가 만드는 열린시장, 옥션’이라는 슬로건을 내걸었다. ","{'start': 86, 'text': '슬로건', 'type': 'poh'}","{'start': 65, 'text': '우리가 만드는 열린시장, 옥션', 'type': 'poh'}",poh:type
76,옥션_14,"관리자가 전자 우편을 읽는 순간 거기에 포함된 코드를 실행하게 되었고, 그 결과 해커는 관리자의 인증 정보를 얻었다.","{'start': 5, 'text': '전자 우편', 'type': 'poh'}","{'start': 49, 'text': '관리자의 인증 정보', 'type': 'poh'}",no_relation
77,옥션_7,판매자들이 물건을 직접 기획하고 등록해서 운영하는 이마켓플레이스로 사업모델을 개편한 것인데 개편과 함께 2002년 2분기부터 흑자로 전환한 옥션은 2005년부터 영업이익률이 30%를 육박하기 시작했다. ,"{'start': 78, 'text': '옥션', 'type': 'org'}","{'start': 28, 'text': '이마켓플레이스', 'type': 'poh'}",product
78,옥션_3,2011년에 ㈜이베이G마켓과 합병하여 ㈜이베이코리아로 출범했다. ,"{'start': 21, 'text': '㈜이베이코리아', 'type': 'org'}","{'start': 7, 'text': '㈜이베이G마켓', 'type': 'org'}",related
79,옥션_11,옥션 측에서는 피해 데이터를 일일이 수작업으로 확인하느라 발표가 늦어졌다고 해명했다.,"{'start': 0, 'text': '옥션', 'type': 'org'}","{'start': 32, 'text': '발표', 'type': 'poh'}",org:event
80,옥션_6,공동구매 등은 매출은 높아지지만 비용도 많이 들기 때문에 수익성이 낮기 때문이었다. ,"{'start': 32, 'text': '수익성', 'type': 'poh'}","{'start': 0, 'text': '공동구매', 'type': 'poh'}",no_relation
81,옥션_9,"옥션은 자체적으로 2008년 2월 4일에 자사의 정보가 유출된 사실을 감지하였으나, 실제 피해규모보다 적은 1081만명의 정보만이 유출된 것으로 파악했다.","{'start': 31, 'text': '유출', 'type': 'poh'}","{'start': 10, 'text': '2008년 2월 4일', 'type': 'dat'}",no_relation
82,옥션_8,2008년 옥션 전체회원 1863만여명의 개인 정보가 유출되었다.,"{'start': 6, 'text': '옥션', 'type': 'org'}","{'start': 30, 'text': '유출', 'type': 'poh'}",org:event
83,옥션_13,해커는 옥션의 관리자들에게 공격 코드가 포함된 전자 우편을 대량으로 송신하였다.,"{'start': 4, 'text': '옥션의 관리자', 'type': 'per'}","{'start': 0, 'text': '해커', 'type': 'per'}",no_relation
84,옥션_15,"해커는 이를 이용하여 옥션에 가입된 사용자들의 정보를 빼내었으며, 이후 유출된 개인정보를 인질로 옥션 측에 금전을 요구하였다.","{'start': 44, 'text': '개인정보', 'type': 'poh'}","{'start': 60, 'text': '금전', 'type': 'poh'}",no_relation
85,옥션_10,"경찰은 조사 결과를 2010년 1월 말 옥션 측에 넘겨졌다. 하지만, 옥션은 이를 2개월여가 지난 2010년 3월 25일에 발표하였다. ","{'start': 39, 'text': '옥션', 'type': 'org'}","{'start': 0, 'text': '경찰', 'type': 'org'}",no_relation
86,옥션_1,"옥션(영어: Auction)은 오혁을 중심으로, 1998년에 오픈된 대한민국 전자상거래 시장에서 최초로 인터넷 경매 서비스를 제공한 오픈 마켓 사이트이다.","{'start': 0, 'text': '옥션', 'type': 'org'}","{'start': 58, 'text': '인터넷 경매 서비스', 'type': 'poh'}",product
87,옥션_12,"이 사건은 중국의 해커에 의해 이루어진 것으로 추정되며, 사이트간 요청 위조(CSRF) 공격 방식을 이용한 것으로 알려졌다.","{'start': 10, 'text': '해커', 'type': 'per'}","{'start': 37, 'text': '요청 위조(CSRF) 공격 방식', 'type': 'poh'}",no_relation
88,옥션_5,"옥션의 사업모델에 가장 큰 변화가 있었던 것은 2002년 3월로, 경매와 공동구매만으로는 사업 수익성을 최대화할 수 없다고 판단, 온라인 마켓플레이스로 사업 구조를 개편했다. ","{'start': 0, 'text': '옥션', 'type': 'org'}","{'start': 73, 'text': '온라인 마켓플레이스', 'type': 'poh'}",org:field
89,스타트업 얼라이언스_1,"2013년 7월, 대한민국 정부 미래창조과학부의 주도로 50여개의 공공기관, 인터넷 기업, 이동통신사, 투자기관, 창업보육기관 등이 참여하여 스타트업얼라이언스를 설립되었다.","{'start': 79, 'text': '스타트업얼라이언스', 'type': 'org'}","{'start': 0, 'text': '2013년 7월', 'type': 'dat'}",org:founded
